t_s,x,y,heading,bump,bump_strength,energy,hunger,arousal,spikes,active,drive_l,drive_r,kc,kc_active,mbon,cx,modulation,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,da_max,elig_mean,depressed,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,on_food,on_hazard
5.1850000000000005,1.6752225160598755,19.034624099731445,2.760216236114502,-2.4746544271414157,0.5574374009197032,0.9138000000000117,0.08619999999998829,0.0,706,668,1.4005919261903848,0.5994080738096152,35.0,35,1.0,29.0,0.038348179310560226,22.040077108027504,32.05487526278712,0.0,0.0,0.0,0.5007399077379808,1.0,0.33948585391044617,0.05279367044568062,0.045638442039489746,0.03436413861128155,0.03367553163832017,0.025708716517935198,0.02490282990038395,0.0,0.0,0.03757585287094116,False,False
5.19,1.664115309715271,19.039464950561523,2.7454562187194824,2.396214473441448,0.6627793907382975,0.9137000000000117,0.08629999999998827,0.0,689,656,1.5,0.29945740099214735,48.0,48,7.0,26.0,0.03841690346598625,20.203404015691877,37.71696899088819,0.0,0.0,0.0,0.8756782487598157,1.0,0.3392939567565918,0.05286625400185585,0.045643150806427,0.034297709405732284,0.033626254820885396,0.025714797278245292,0.024898965687801443,0.0,0.0,0.013965598344802857,False,False
5.195,1.5678119659423828,19.13933753967285,2.7599430084228516,2.7406894274005884,0.6877434538932964,0.9136000000000117,0.08639999999998826,0.0,617,582,1.5,0.3578359509094684,32.0,32,5.0,28.0,0.038389891386032104,18.51978701438422,34.57388824164751,0.0,0.0,0.0,0.8027050613631644,1.0,0.339987188577652,0.05280072242021561,0.04564791917800903,0.033954086367040504,0.03327061340818146,0.02581781397263209,0.024999505064139765,0.0,0.0,0.024667041301727297,False,False
5.2,1.4832332134246826,19.277629852294922,2.7364823818206787,2.695477724143916,0.5755163343928523,0.9135000000000117,0.08649999999998825,0.0,595,560,1.5,0.4113496216670126,23.0,23,1.0,26.0,0.03831036388874054,16.9764714298522,31.692730888176882,0.0,0.0,0.0,0.7358129729162342,1.0,0.34040576219558716,0.052702706307172775,0.04565232992172241,0.033494645779331166,0.03284407904247408,0.025772987864911556,0.02493857483689984,0.0,0.0,0.014939837455749514,False,False
5.205,1.3569501638412476,19.31351661682129,2.763713836669922,3.086308374714435,0.4880148494271113,0.9134000000000118,0.08659999999998824,0.0,521,497,1.5,0.4604038198614282,42.0,42,0.0,25.0,0.03821931779384613,15.561765477364515,29.05166998082881,0.0,0.0,0.0,0.6744952251732147,1.0,0.34061139822006226,0.05267464742064476,0.04565697908401489,0.03329101318260619,0.032629178283580536,0.026027951389551163,0.025190042797476053,0.0,0.0,0.011716005802154542,False,False
5.21,1.2310785055160522,19.28025245666504,2.791842222213745,2.9663309164224643,0.7561033329458102,0.9133000000000118,0.08669999999998823,0.0,530,503,1.4946298317936906,0.5053701682063093,36.0,36,3.0,30.0,0.03813103958964348,14.264951687584139,26.630697482426406,0.0,0.0,0.0,0.6182872897421133,1.0,0.3406110405921936,0.052659712731838226,0.0456615686416626,0.0331890848251056,0.032509029118343837,0.026422319933772087,0.02557960261280338,0.0,0.0,0.01882195353507996,False,False
5.215,1.2408242225646973,19.256221771240234,2.817323923110962,2.9556709160734105,0.4460315130653325,0.9132000000000118,0.08679999999998822,0.0,584,545,1.4534106791442165,0.5465893208557835,19.0,19,3.0,39.0,0.038049664348363876,13.076205713618794,24.411472692224205,0.0,0.0,0.0,0.5667633489302706,1.0,0.3404114246368408,0.0525384321808815,0.04566603899002075,0.03327137067184437,0.03256348460043435,0.02650522782156865,0.025675466749817133,0.0,0.0,0.01326557993888855,False,False
5.22,1.2094850540161133,19.224693298339844,2.8479843139648438,2.832157612569959,0.7228318732441056,0.9131000000000118,0.08689999999998821,0.0,608,577,1.4156264558821983,0.5843735441178016,26.0,26,0.0,40.0,0.037970833480358124,20.319855237483893,30.710516634538852,0.0,0.0,0.0,0.5195330698527479,1.0,0.3400191366672516,0.052454374730587006,0.04567056894302368,0.03331954270601237,0.03258880942811533,0.026638939355810486,0.02581958193331957,0.0,0.0,0.014026851654052735,False,False
5.2250000000000005,1.1133787631988525,19.21439552307129,2.8577558994293213,2.816039928019717,0.7072049384099905,0.9130000000000118,0.0869999999999882,0.0,628,593,1.5,0.2856757487746515,31.0,31,4.0,30.0,0.03794432058930397,18.626533967693568,36.48464024832728,0.0,0.0,0.0,0.8929053140316856,1.0,0.33944061398506165,0.0523894838988781,0.04567497968673706,0.03319575449777731,0.032465984795242195,0.02686014088491599,0.026034630524615448,0.0,0.0,0.02306001901626587,False,False
5.23,1.0688098669052124,19.233369827270508,2.8720996379852295,-2.438424029225965,0.5824079965076376,0.9129000000000118,0.08709999999998819,0.0,626,598,1.5,0.3452027697100971,34.0,34,2.0,22.0,0.03832573443651199,17.074322803719102,33.44425356096667,0.0,0.0,0.0,0.8184965378623785,1.0,0.3386821448802948,0.052349936217069626,0.04567939043045044,0.03312889762533172,0.032389252819120536,0.026957574300467968,0.02613525992880265,0.0,0.0,0.020925915241241454,False,False
5.235,0.9678030610084534,19.2204647064209,2.8272273540496826,-3.0047946722605343,0.663846933518282,0.9128000000000118,0.08719999999998818,0.0,576,552,1.2668974610990775,0.7331025389009225,23.0,23,4.0,33.0,0.03859049081802368,23.984795903409175,30.657232430886115,0.0,0.0,0.0,0.33362182637384696,1.0,0.33774980902671814,0.05225523188710213,0.04568380117416382,0.03286775063024798,0.03218124322934662,0.02711281335602204,0.02625228526691596,0.0,0.0,0.01789052724838257,False,False
