t_s,x,y,heading,energy,spikes,active,drive_l,drive_r,kc,mbon,cx,dn_left,dn_right,dn_stop,dn_back,mn9,turn,gate,in_odor_good_l,in_odor_good_r,in_odor_bad_l,in_odor_bad_r,in_sugar,in_bitter,in_touch,in_vision_l,in_vision_r,on_food,on_hazard
3.785,10.474869728088379,42.6525764465332,2.366891384124756,0.9698000000000075,1337,1268,0.8909926117837075,1.1090073882162925,10.0,3.0,1.0,22.86317301681738,20.13798831141007,0.0,0.0,0.0,-0.1362592352703656,1.0,0.008391775578881305,0.008294825286914905,0.005571551931401094,0.0054848853809138145,0.0,0.0,0.02009921073913574,0.15,0.15,False,False
3.79,10.467942237854004,42.81114196777344,2.347137689590454,0.9697000000000076,1322,1271,0.5667432274683984,1.4332567725316014,24.0,3.0,1.0,29.2912419320826,18.45982261879256,0.0,0.0,0.0,-0.5415709656645019,1.0,0.008349233927826088,0.008248952217400074,0.005553070611009995,0.005465713717664282,0.0,0.0,0.019920382499694824,0.15,0.15,False,False
3.795,10.46191120147705,42.95627975463867,2.3884706497192383,0.9696000000000076,1326,1263,0.6028479585126987,1.3971520414873013,19.0,1.0,0.0,26.85030510440905,16.921504067226515,0.0,0.0,0.0,-0.4964400518591267,1.0,0.008303226592640083,0.008206434625511369,0.0055263125492880745,0.005440374564689895,0.0,0.0,0.01987142324447632,0.15,0.15,False,False
3.8,10.362040519714355,42.9747314453125,2.44126558303833,0.9695000000000076,1234,1185,0.6359439619699738,1.3640560380300262,12.0,2.0,0.0,24.612779679041626,15.511378728290971,0.0,0.0,0.0,-0.4550700475375328,1.0,0.00830655413058897,0.00820601514230172,0.0055414964056884255,0.005454251465077202,0.0,0.0,0.01955255508422852,0.15,0.15,False,False
3.805,10.27374267578125,42.93141174316406,2.4768362045288086,0.9694000000000076,1276,1208,0.6662819651391427,1.3337180348608573,10.0,2.0,0.0,22.561714705788155,14.218763834266722,0.0,0.0,0.0,-0.41714754357607164,1.0,0.008327107643708587,0.008220923288414877,0.005568242825878164,0.005479169388612112,0.0,0.0,0.020875749588012697,0.15,0.15,False,False
3.81,10.271831512451172,42.897911071777344,2.5176498889923096,0.9693000000000076,1306,1238,0.6940918013775474,1.3059081986224526,3.0,0.0,1.0,20.68157181363914,13.033866848077828,0.0,0.0,0.0,-0.3823852482780657,1.0,0.008341934299096465,0.008232278050854802,0.005579570618768534,0.005489640946810445,0.0,0.0,0.0177060866355896,0.15,0.15,False,False
3.815,10.215644836425781,42.90565872192383,2.56072998046875,0.9692000000000076,1255,1180,0.7195841512627519,1.2804158487372481,3.0,2.0,0.0,18.95810749583588,11.947711277404675,0.0,0.0,0.0,-0.3505198109215602,1.0,0.008346405811607838,0.008233650975550216,0.005590489599853754,0.005499876763982078,0.0,0.0,0.026015102863311768,0.15,0.15,False,False
3.82,10.126581192016602,42.926326751708984,2.567136287689209,0.9691000000000076,1280,1228,0.7429521386575225,1.2570478613424774,5.0,1.0,0.0,17.37826520451622,10.952068670954285,0.0,0.0,0.0,-0.3213098266780968,1.0,0.008354380261152983,0.008238005296637615,0.005607033769289653,0.005515609518624842,0.0,0.0,0.03420909881591797,0.15,0.15,False,False
3.825,10.094687461853027,42.969146728515625,2.5486576557159424,0.9690000000000076,1265,1192,0.19999999999999996,1.5,6.0,0.0,0.0,32.59674310413987,10.039396281708093,0.0,0.0,0.0,-1.0,1.0,0.008346977022786936,0.008230072756608328,0.005607238660256068,0.005515799469624957,0.0,0.0,0.019171780347824095,0.15,0.15,False,False
3.83,9.962753295898438,43.025856018066406,2.583955764770508,0.9689000000000076,1241,1195,0.506230616510835,1.493769383489165,22.0,1.0,1.0,29.880347845461543,17.53611325823242,0.0,0.0,0.0,-0.6172117293614562,1.0,0.00831523754944404,0.00820097668717305,0.005602726014330983,0.005511460864606003,0.0,0.0,0.015787932872772217,0.15,0.15,False,False
3.835,9.837324142456055,42.98171615600586,2.5810294151306152,0.9688000000000077,1287,1222,0.547378065134932,1.452621934865068,18.0,1.0,1.0,27.390318858339747,16.07477048671305,0.0,0.0,0.0,-0.5657774185813349,1.0,0.008333698691179356,0.008217033464461565,0.005627935364221534,0.005536073391946654,0.0,0.0,0.01590151071548462,0.15,0.15,False,False
3.84,9.722273826599121,43.068519592285156,2.540140151977539,0.9687000000000077,1205,1155,0.585096559707021,1.414903440292979,3.0,2.0,0.0,25.107792286811435,14.735206279486961,0.0,0.0,0.0,-0.5186293003662237,1.0,0.008299980545416474,0.008184382847199839,0.005620148925421139,0.005528656377767524,0.0,0.0,0.012804752588272095,0.15,0.15,False,False
3.845,9.65937614440918,43.20734786987305,2.513747215270996,0.9686000000000077,1260,1199,0.6196718463981026,1.3803281536018974,3.0,2.0,1.0,23.015476262910482,13.507272422863048,0.0,0.0,0.0,-0.4754101920023717,1.0,0.008234267588704824,0.00812368040593962,0.005587654692741732,0.005497465220590433,0.0,0.0,0.0197694206237793,0.15,0.15,False,False
3.85,9.673650741577148,43.211978912353516,2.480536699295044,0.9685000000000077,1251,1195,0.6513658591982607,1.3486341408017393,20.0,1.0,0.0,21.09751990766794,12.38166638762446,0.0,0.0,0.0,-0.4357926760021741,1.0,0.00822276381465296,0.00811482119994859,0.005580372332284848,0.005490559657725195,0.0,0.0,0.015012277364730837,0.15,0.15,False,False
3.855,9.686318397521973,43.23921203613281,2.47501802444458,0.9684000000000077,1286,1225,0.6804187042650723,1.3195812957349276,12.0,2.0,0.0,19.33939324869561,11.34986085532242,0.0,0.0,0.0,-0.39947661966865955,1.0,0.008208412133778136,0.008102891345818838,0.005570299496563773,0.00548078251692156,0.0,0.0,0.015010321140289306,0.15,0.15,False,False
3.86,9.657269477844238,43.31989669799805,2.467564105987549,0.9683000000000077,1354,1293,0.7070504789096497,1.2929495210903503,7.0,1.0,1.0,17.727777144637642,10.404039117378884,0.0,0.0,0.0,-0.36618690136293786,1.0,0.00818157180522879,0.008076748345047235,0.005558345777293047,0.005469026121621331,0.0,0.0,0.026897368431091313,0.15,0.15,False,False
3.865,9.62572956085205,43.3505859375,2.5245940685272217,0.9682000000000077,1347,1271,0.3981296056671789,1.5,6.0,3.0,1.0,24.583795715917837,9.53703585759731,0.0,0.0,0.0,-0.7523379929160263,1.0,0.008165643084794283,0.00806209941705068,0.0055518521306415405,0.005462931391472618,0.0,0.0,0.024737753868103028,0.15,0.15,False,False
